f,data,prd,RE,symbol,units,description,prd_f1
0.80,5.078,2.443,0.5189,Wwi,g,ultimate wet weight,5.599
0.80,5.95,2.637,0.5568,Wwim,g,ultimate wet weight for males,6.049
0.80,0.0274,0.004643,0.8305,Ri,#/d,maximum reprod rate,0.02474
0.75,912.5,2409,1.64,tp,d,time since birth at puberty,741.8
0.75,5840,5847,0.001167,am,d,life span,5843
0.75,2.41,2.343,0.02788,Lb,cm,SVL at hatching,2.352
0.75,4.42,4.815,0.08945,Lp,cm,SVL at puberty for females,5.35
0.75,4.99,4.564,0.08529,Lpm,cm,SVL at puberty for males,4.992
0.75,6.683,4.843,0.2754,Li,cm,ultimate SVL for females,6.457
0.75,6.223,4.753,0.2363,Lim,cm,ultimate SVL for males,6.337
0.75,0.98,0.9473,0.03332,Ww0,g,wet weight of eggs,0.994
0.75,0.36,0.2181,0.3943,Wwb,g,wet weight of hatchlings,0.2705
0.75,5.078,1.926,0.6207,Wwi,g,ultimate wet weight,5.599
0.75,5.95,2.078,0.6507,Wwim,g,ultimate wet weight for males,6.049
0.75,0.0274,0.0007602,0.9723,Ri,#/d,maximum reprod rate,0.02474
0.74,912.5,4123,3.518,tp,d,time since birth at puberty,741.8
0.74,5840,5847,0.001187,am,d,life span,5843
0.74,2.41,2.342,0.02806,Lb,cm,SVL at hatching,2.352
0.74,4.42,4.777,0.08079,Lp,cm,SVL at puberty for females,5.35
0.74,4.99,4.538,0.09065,Lpm,cm,SVL at puberty for males,4.992
0.74,6.683,4.778,0.285,Li,cm,ultimate SVL for females,6.457
0.74,6.223,4.689,0.2465,Lim,cm,ultimate SVL for males,6.337
0.74,0.98,0.9455,0.03517,Ww0,g,wet weight of eggs,0.994
0.74,0.36,0.216,0.4001,Wwb,g,wet weight of hatchlings,0.2705
0.74,5.078,1.833,0.639,Wwi,g,ultimate wet weight,5.599
0.74,5.95,1.978,0.6676,Wwim,g,ultimate wet weight for males,6.049
0.74,0.0274,3.469e-05,0.9987,Ri,#/d,maximum reprod rate,0.02474
