f,data,prd,RE,symbol,units,description,prd_f1
0.87,7.6,7.07,0.06967,Wwx,g,wet weight at weaning,11.02
0.87,8.2,7.235,0.1177,Wwp,g,wet weight at puberty,12.08
0.87,8.4,7.235,0.1387,Wwi,g,ultimate wet weight,12.08
0.87,0.04932,0.01816,0.6318,Ri,#/d,maximum reprod rate,0.1602
0.86,21,21.1,0.004748,tg,d,gestation time,21.1
0.86,23,25.25,0.09791,tx,d,time since birth at weaning,19.03
0.86,198,363.5,0.8357,tp,d,time since birth at puberty,105
0.86,1168,1264,0.08227,am,d,life span,978.5
0.86,6,5.727,0.04551,Li,cm,ultimate total length,6.659
0.86,0.44,0.42,0.04554,Wwb,g,wet weight at birth,0.4651
0.86,7.6,6.799,0.1054,Wwx,g,wet weight at weaning,11.02
0.86,8.2,6.935,0.1543,Wwp,g,wet weight at puberty,12.08
0.86,8.4,6.935,0.1744,Wwi,g,ultimate wet weight,12.08
0.86,0.04932,0.008214,0.8334,Ri,#/d,maximum reprod rate,0.1602
